created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:38:25 +0000 2018,masudur02219820,"RT @mipaltan: Paltan, 10 hours to go!  

#MIvCSK #CricketMeriJaan https://t.co/ZvzLXv1MgL",
Sun Apr 08 16:38:44 +0000 2018,DasUmrav,"RT @walekar_santosh: #MIvCSK
#
     18  62 , 66              ",
Sun Apr 08 16:38:46 +0000 2018,immortalsoulIN,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:38:47 +0000 2018,tanhadil1981,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Pacific Time (US & Canada)
Sun Apr 08 16:38:48 +0000 2018,iRajuSrivastav,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:38:50 +0000 2018,LandLord_Gurjar,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:38:52 +0000 2018,vishvmtiwari,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,New Delhi
Sun Apr 08 16:38:53 +0000 2018,Dinu_speaks,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:38:55 +0000 2018,GDuttTweets,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Arizona
Sun Apr 08 16:38:55 +0000 2018,SaranyaaaRaj,"RT @Legendu_Karthik: #MIvCSK      #RCB   ... !
#KKRvRCB      ",
Sun Apr 08 16:38:56 +0000 2018,JohnyLeverr,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:38:58 +0000 2018,DARKMATTER1008,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:00 +0000 2018,narendrap85,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:01 +0000 2018,Reenakaramkar,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:04 +0000 2018,SaffronSangh,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:05 +0000 2018,ManojHindustni,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:10 +0000 2018,shuklapinku,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:11 +0000 2018,Vinayrv00,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
